Customer_ID,Age,Gender,Annual_Income,Previous_Purchases,Spending_Score,Engagement_Level,Offering_Type,Offering_Category,Discount_Used,Promo_Used,Visit_Frequency
1000,24,Female,71883,17,97,Medium,Service,Consulting,No,Yes,Medium
1001,55,Female,97655,25,71,High,Service,Electronics,No,No,Low
1002,34,Female,58827,19,5,Low,Product,Consulting,No,Yes,High
1003,26,Female,48487,24,83,Low,Product,Food,Yes,Yes,Low
1004,56,Female,48850,2,97,Medium,Product,Electronics,Yes,No,Medium
1005,30,Female,53076,18,6,High,Service,Subscription,Yes,No,High
1006,52,Male,22601,5,67,Low,Product,Subscription,No,Yes,Medium
1007,52,Male,56938,30,62,Medium,Product,Subscription,No,Yes,High
1008,21,Male,88326,11,73,High,Product,Food,No,Yes,Medium
1009,21,Male,29608,9,82,Medium,Product,Subscription,Yes,Yes,Medium
1010,45,Female,54201,34,39,Medium,Service,Consulting,Yes,No,Medium
1011,41,Male,29152,35,72,High,Service,Streaming,Yes,No,High
1012,20,Male,95128,10,2,Medium,Service,Streaming,Yes,No,High
1013,55,Female,31818,11,60,Medium,Service,Streaming,No,Yes,Low
1014,64,Male,89504,13,5,Medium,Service,Food,No,Yes,Low
1015,37,Male,87418,2,37,High,Service,Streaming,Yes,Yes,Medium
1016,23,Male,118548,22,88,Medium,Product,Electronics,No,No,High
1017,47,Female,109030,28,66,High,Product,Clothing,Yes,Yes,Medium
1018,35,Female,39318,40,14,High,Service,Electronics,No,No,High
1019,29,Female,42915,15,88,Low,Service,Streaming,No,No,Medium
1020,49,Male,114762,15,97,Low,Service,Electronics,No,No,High
1021,23,Male,81839,30,76,Low,Product,Electronics,Yes,Yes,High
1022,37,Male,119938,5,68,High,Service,Clothing,No,Yes,High
1023,35,Female,60850,32,51,High,Service,Food,No,No,Low
1024,40,Female,29161,14,9,Low,Product,Electronics,Yes,Yes,Low
1025,48,Female,119255,28,15,Medium,Service,Subscription,Yes,Yes,Low
1026,45,Male,28813,1,53,Medium,Service,Food,No,No,High
1027,47,Male,25795,38,99,High,Product,Consulting,Yes,No,Low
1028,30,Male,94223,20,32,Medium,Service,Food,No,Yes,Medium
1029,32,Male,108439,1,62,Medium,Service,Consulting,Yes,Yes,Low
1030,41,Female,64421,16,61,Low,Service,Streaming,No,Yes,Low
1031,46,Male,101781,13,81,Low,Service,Food,No,Yes,Low
1032,59,Female,90363,24,72,Medium,Product,Consulting,No,Yes,High
1033,65,Male,57501,2,64,Medium,Product,Streaming,No,No,Low
1034,36,Male,25292,5,12,Medium,Product,Streaming,Yes,No,Medium
1035,54,Male,47701,0,45,High,Product,Clothing,Yes,No,Low
1036,25,Female,109039,35,80,Low,Service,Subscription,No,Yes,Low
1037,44,Female,31446,22,3,Low,Service,Food,No,No,Low
1038,34,Male,65199,36,66,Low,Product,Electronics,No,No,Medium
1039,23,Female,85984,0,10,Medium,Service,Clothing,No,No,Medium
1040,26,Female,49285,23,46,High,Service,Subscription,Yes,No,Low
1041,61,Male,30264,16,39,Low,Product,Subscription,Yes,Yes,Medium
1042,44,Female,30427,16,80,High,Service,Subscription,No,Yes,Low
1043,45,Female,55527,16,33,High,Product,Clothing,Yes,No,Medium
1044,31,Male,98327,11,5,High,Service,Food,Yes,Yes,Low
1045,55,Female,65074,9,43,Medium,Product,Clothing,No,Yes,High
1046,23,Male,52094,23,32,High,Service,Consulting,No,No,Medium
1047,37,Female,77736,40,58,Medium,Service,Subscription,Yes,Yes,High
1048,19,Male,23234,33,94,High,Service,Food,No,Yes,Medium
1049,19,Male,43249,5,1,Medium,Product,Food,Yes,No,Medium
1050,48,Male,93325,36,23,Medium,Service,Clothing,Yes,Yes,Low
1051,55,Male,37658,32,69,Low,Service,Electronics,No,No,High
1052,45,Male,60879,10,89,High,Service,Food,Yes,No,Low
1053,43,Female,44860,15,40,Medium,Product,Food,No,No,Low
1054,19,Male,48092,20,79,Low,Product,Food,Yes,Yes,Medium
1055,31,Female,67103,22,4,Low,Product,Electronics,Yes,No,Medium
1056,27,Female,54796,30,93,High,Product,Streaming,Yes,Yes,High
1057,27,Male,40561,8,2,High,Product,Subscription,No,Yes,Low
1058,29,Male,63791,37,17,High,Service,Consulting,Yes,No,Medium
1059,27,Female,45628,23,74,Low,Product,Consulting,No,No,High
1060,25,Male,51596,16,90,Low,Product,Food,Yes,Yes,High
1061,41,Female,46884,20,35,High,Product,Subscription,No,Yes,High
1062,23,Male,103137,11,22,High,Service,Streaming,No,No,Low
1063,60,Female,117261,30,98,Medium,Service,Clothing,Yes,Yes,High
1064,34,Male,118358,23,3,Medium,Product,Electronics,Yes,Yes,Medium
1065,55,Female,112529,2,48,Low,Product,Consulting,No,Yes,Low
1066,22,Female,53467,17,76,Low,Product,Streaming,No,No,Low
1067,39,Female,107889,16,44,High,Product,Consulting,No,Yes,High
1068,40,Male,58125,32,90,Medium,Service,Clothing,Yes,Yes,High
1069,41,Male,30778,39,55,Medium,Service,Electronics,Yes,No,Low
1070,46,Male,48139,28,4,High,Product,Food,No,Yes,Low
1071,28,Female,91982,34,7,High,Product,Food,Yes,No,High
1072,62,Male,34174,0,38,High,Service,Subscription,No,Yes,Low
1073,41,Male,46524,33,85,Low,Service,Consulting,Yes,Yes,Medium
1074,64,Male,97511,0,17,Medium,Service,Electronics,Yes,Yes,High
1075,29,Female,104431,29,24,High,Service,Food,No,Yes,High
1076,53,Female,55381,29,65,Low,Service,Food,Yes,Yes,Low
1077,29,Male,75476,16,60,Low,Service,Subscription,No,Yes,Low
1078,39,Female,35254,17,69,High,Product,Consulting,Yes,No,Low
1079,35,Male,107478,12,85,Low,Service,Clothing,Yes,Yes,Low
1080,56,Female,33600,30,81,Medium,Service,Subscription,Yes,No,Low
1081,65,Female,69329,29,16,High,Product,Clothing,No,Yes,Medium
1082,47,Female,20625,37,77,Medium,Service,Electronics,No,Yes,Low
1083,53,Female,94570,0,27,High,Product,Electronics,No,No,High
1084,62,Female,107727,9,12,Medium,Product,Food,No,No,High
1085,20,Female,46972,17,3,High,Product,Food,Yes,Yes,Medium
1086,33,Male,46548,38,84,Low,Product,Streaming,No,No,Low
1087,56,Female,43496,10,61,Low,Service,Clothing,No,Yes,Medium
1088,22,Male,109598,9,31,Medium,Service,Electronics,Yes,No,Low
1089,30,Female,103078,29,87,Medium,Service,Clothing,No,Yes,High
1090,34,Female,119258,33,53,Medium,Product,Food,No,Yes,High
1091,19,Female,97574,5,48,Medium,Product,Food,No,No,High
1092,18,Male,86470,32,67,Low,Service,Food,Yes,No,Medium
1093,60,Male,56103,39,32,Medium,Product,Consulting,Yes,No,High
1094,34,Female,54875,3,9,Low,Service,Food,No,Yes,High
1095,20,Female,58328,5,49,High,Service,Subscription,Yes,No,Medium
1096,18,Male,97945,21,76,High,Service,Subscription,Yes,Yes,High
1097,62,Male,97212,5,9,High,Service,Electronics,Yes,No,High
1098,61,Female,37049,40,36,Low,Service,Streaming,No,No,Low
1099,55,Female,111529,5,34,High,Service,Electronics,No,Yes,Low
1100,50,Male,97680,38,1,Medium,Service,Food,Yes,No,Medium
1101,38,Female,75169,14,74,Medium,Product,Streaming,Yes,No,High
1102,45,Male,100790,21,26,Medium,Service,Streaming,No,No,Medium
1103,38,Male,117073,30,41,Medium,Product,Consulting,Yes,Yes,High
1104,38,Male,81898,13,44,Low,Service,Consulting,Yes,No,High
1105,41,Male,105251,11,83,Medium,Service,Streaming,Yes,Yes,Medium
1106,18,Female,95456,13,45,Low,Product,Subscription,No,No,Low
1107,60,Female,76910,29,99,Low,Service,Consulting,No,Yes,High
1108,45,Male,41282,24,77,Low,Product,Food,Yes,No,Medium
1109,40,Male,32958,13,13,Low,Service,Food,Yes,Yes,Low
1110,22,Female,103278,34,17,Medium,Service,Subscription,No,Yes,High
1111,42,Male,47665,31,65,Low,Service,Consulting,Yes,Yes,Low
1112,32,Male,85115,24,12,Low,Service,Electronics,No,Yes,Low
1113,57,Male,44604,7,38,Medium,Service,Streaming,Yes,No,Low
1114,48,Male,106961,4,99,Low,Product,Consulting,No,No,Medium
1115,59,Male,45005,18,7,Low,Product,Consulting,Yes,Yes,Medium
1116,18,Female,66782,23,21,High,Service,Clothing,No,No,Medium
1117,59,Female,51544,29,48,Low,Product,Food,No,No,Low
1118,59,Female,90602,11,37,Medium,Service,Food,No,Yes,Medium
1119,32,Female,104630,25,17,Medium,Product,Consulting,No,Yes,Low
1120,24,Male,45059,26,51,High,Service,Streaming,No,No,High
1121,31,Male,72658,1,69,Low,Product,Subscription,No,No,Low
1122,58,Male,64685,36,70,High,Product,Streaming,No,Yes,Low
1123,51,Female,64050,16,28,Low,Product,Subscription,Yes,Yes,Medium
1124,53,Female,30142,6,12,High,Service,Consulting,Yes,No,High
1125,58,Female,80404,8,89,Medium,Service,Subscription,No,Yes,Low
1126,62,Male,91686,23,24,High,Product,Electronics,Yes,No,Medium
1127,40,Female,60146,10,10,High,Service,Subscription,Yes,No,High
1128,24,Male,74418,26,27,Medium,Service,Food,Yes,No,Medium
1129,19,Male,75161,32,54,Low,Product,Streaming,Yes,No,Low
1130,52,Male,93858,15,36,High,Product,Consulting,Yes,Yes,Low
1131,22,Female,73266,24,14,High,Service,Food,No,Yes,Low
1132,29,Female,93611,7,97,Medium,Service,Subscription,No,Yes,High
1133,43,Male,76779,22,37,High,Service,Subscription,Yes,Yes,Medium
1134,64,Male,97476,6,35,Medium,Product,Electronics,Yes,Yes,High
1135,57,Female,78908,35,65,High,Service,Food,Yes,Yes,Medium
1136,34,Male,28055,11,53,High,Service,Streaming,Yes,Yes,Low
1137,43,Male,114551,13,7,High,Product,Subscription,Yes,Yes,Medium
1138,62,Male,40322,16,61,Medium,Service,Clothing,No,Yes,Medium
1139,26,Male,25600,3,4,Medium,Service,Electronics,No,Yes,High
1140,56,Male,41479,2,86,High,Service,Electronics,No,No,Low
1141,27,Male,23043,31,37,High,Service,Clothing,No,No,High
1142,24,Male,110154,19,55,High,Service,Electronics,Yes,No,Medium
1143,42,Female,62215,23,35,Medium,Service,Clothing,No,Yes,Medium
1144,43,Female,57038,13,85,Low,Product,Streaming,No,No,Medium
1145,29,Male,88438,34,35,High,Service,Clothing,No,Yes,Medium
1146,38,Male,93008,28,43,Medium,Product,Subscription,No,No,High
1147,38,Female,52600,32,72,Medium,Product,Subscription,Yes,Yes,Low
1148,43,Male,50397,20,87,High,Product,Electronics,No,No,Medium
1149,25,Male,88313,30,4,Low,Product,Streaming,Yes,Yes,Low
1150,35,Male,102117,39,11,High,Product,Electronics,No,Yes,Low
1151,38,Female,108297,9,44,Low,Product,Electronics,No,No,Medium
1152,36,Male,90235,22,24,Low,Product,Food,No,Yes,Low
1153,29,Female,65631,25,71,High,Product,Consulting,Yes,Yes,High
1154,24,Female,31984,25,21,High,Product,Subscription,No,No,Low
1155,25,Female,83005,10,61,High,Service,Electronics,Yes,Yes,Low
1156,58,Male,92955,5,33,Low,Product,Electronics,Yes,No,Medium
1157,24,Male,82756,40,4,Low,Product,Electronics,No,Yes,Low
1158,50,Female,90475,38,100,Medium,Service,Subscription,Yes,Yes,Medium
1159,40,Female,83810,25,28,Low,Service,Consulting,No,Yes,High
1160,45,Male,94403,34,69,High,Product,Streaming,No,No,Medium
1161,57,Male,79189,0,25,High,Service,Subscription,No,Yes,Medium
1162,19,Male,90191,35,7,High,Product,Food,No,No,High
1163,50,Male,111877,23,58,Low,Service,Streaming,Yes,Yes,High
1164,61,Female,76518,8,32,High,Product,Electronics,No,No,Low
1165,65,Male,77265,12,1,High,Product,Electronics,Yes,No,Medium
1166,61,Male,98879,8,60,Medium,Product,Streaming,Yes,No,Low
1167,38,Male,40105,30,23,Medium,Service,Electronics,Yes,Yes,Medium
1168,24,Female,63453,24,77,High,Product,Food,No,Yes,Medium
1169,50,Male,113246,16,8,High,Product,Clothing,Yes,No,Medium
1170,40,Male,34388,21,11,Medium,Service,Clothing,No,Yes,Medium
1171,64,Male,74485,0,27,Medium,Service,Electronics,No,Yes,High
1172,60,Female,106830,12,50,Low,Product,Food,Yes,No,Low
1173,22,Female,42539,31,23,Low,Product,Food,No,No,Low
1174,30,Female,71368,14,27,Medium,Product,Subscription,No,No,High
1175,55,Male,107590,19,75,Low,Product,Streaming,Yes,No,Low
1176,23,Male,28891,25,27,Low,Product,Food,Yes,No,Medium
1177,42,Male,83412,23,23,High,Product,Clothing,No,Yes,High
1178,20,Female,67521,37,12,Low,Service,Electronics,Yes,Yes,High
1179,55,Male,28233,25,83,Medium,Service,Food,Yes,Yes,High
1180,59,Male,110670,2,28,Low,Service,Electronics,No,Yes,High
1181,29,Female,57833,37,50,Medium,Service,Electronics,Yes,Yes,Medium
1182,64,Male,83234,15,46,Low,Product,Streaming,No,No,High
1183,29,Female,69776,14,75,Medium,Service,Clothing,No,No,High
1184,52,Male,64908,4,55,Low,Service,Subscription,Yes,Yes,Medium
1185,31,Female,91833,2,34,Low,Service,Food,No,No,Low
1186,25,Male,28314,22,2,Medium,Product,Streaming,Yes,No,Medium
1187,40,Female,56905,24,80,High,Service,Consulting,No,Yes,High
1188,61,Male,85647,21,13,High,Product,Food,Yes,Yes,Low
1189,25,Male,65749,22,48,Low,Service,Streaming,Yes,Yes,Low
1190,38,Male,66004,19,79,High,Product,Food,No,Yes,Medium
1191,35,Female,68936,31,90,Medium,Product,Electronics,No,No,Low
1192,47,Female,76486,9,73,High,Service,Consulting,No,Yes,Low
1193,52,Male,61162,24,23,Medium,Service,Consulting,Yes,Yes,Low
1194,44,Male,111967,32,18,Low,Product,Streaming,No,Yes,Low
1195,22,Female,108911,35,47,High,Service,Consulting,Yes,Yes,Low
1196,29,Male,65224,8,20,Medium,Product,Subscription,No,No,Medium
1197,32,Female,68161,35,37,Low,Product,Clothing,Yes,Yes,Medium
1198,50,Male,35392,31,49,Medium,Product,Consulting,No,No,Medium
1199,60,Male,106727,16,12,High,Service,Subscription,Yes,Yes,Medium
1200,50,Male,45092,18,71,Low,Product,Streaming,No,No,High
1201,32,Female,23167,20,51,High,Service,Subscription,Yes,No,Low
1202,26,Female,113892,36,52,Medium,Product,Electronics,Yes,Yes,High
1203,24,Female,27785,15,60,High,Product,Consulting,Yes,No,High
1204,37,Male,22746,4,34,Low,Product,Consulting,No,Yes,Low
1205,31,Female,53980,10,22,Low,Product,Clothing,Yes,No,Low
1206,27,Male,36642,27,20,High,Service,Clothing,No,Yes,High
1207,19,Male,118803,15,30,Medium,Product,Clothing,No,Yes,Low
1208,63,Male,49810,21,97,Low,Service,Food,Yes,No,High
1209,65,Male,119425,18,69,Low,Service,Electronics,No,Yes,Low
1210,35,Female,75454,28,22,Medium,Product,Consulting,No,No,High
1211,24,Female,88117,0,66,High,Product,Clothing,No,Yes,High
1212,64,Female,61709,20,47,High,Service,Consulting,No,Yes,Low
1213,60,Female,81537,24,49,Low,Product,Electronics,No,No,Medium
1214,18,Male,26201,5,18,High,Product,Food,Yes,No,Medium
1215,57,Female,96091,38,30,Low,Product,Food,Yes,No,Medium
1216,55,Female,113854,13,40,Low,Product,Streaming,No,No,High
1217,18,Female,21837,23,75,Low,Service,Food,Yes,No,Low
1218,41,Female,61668,34,79,Medium,Service,Streaming,No,Yes,High
1219,47,Male,57463,9,9,Low,Service,Consulting,No,Yes,Low
1220,25,Male,55464,1,61,Low,Product,Subscription,No,Yes,High
1221,29,Female,39198,9,35,High,Service,Clothing,No,No,Medium
1222,41,Female,64309,7,12,Medium,Service,Streaming,No,No,High
1223,54,Female,103560,21,4,High,Service,Consulting,No,No,High
1224,37,Female,119805,26,21,Medium,Product,Electronics,No,No,Low
1225,39,Male,88081,39,2,High,Product,Streaming,Yes,No,Low
1226,29,Female,40494,14,38,Medium,Service,Consulting,Yes,No,Low
1227,35,Male,118594,32,51,Low,Service,Streaming,No,Yes,Medium
1228,55,Female,119202,39,2,Medium,Service,Electronics,Yes,No,Low
1229,63,Female,64344,27,77,Low,Product,Clothing,Yes,No,Low
1230,30,Female,107966,8,61,Low,Product,Consulting,Yes,No,Low
1231,23,Male,73454,38,92,Low,Service,Electronics,No,Yes,Low
1232,35,Female,59325,40,64,Medium,Service,Clothing,No,No,Low
1233,50,Female,114898,25,26,Medium,Service,Streaming,Yes,No,Medium
1234,50,Male,97027,14,51,Low,Service,Streaming,No,Yes,Low
1235,57,Male,23078,6,72,High,Product,Electronics,No,Yes,Low
1236,45,Female,99048,24,91,High,Product,Electronics,Yes,Yes,High
1237,59,Male,87039,1,56,Low,Service,Subscription,Yes,No,Low
1238,47,Male,85088,31,17,Medium,Product,Streaming,Yes,No,Low
1239,45,Female,78371,17,24,High,Product,Consulting,Yes,No,Low
1240,50,Male,97534,32,33,Low,Service,Clothing,No,No,Medium
1241,56,Male,113866,28,5,High,Product,Clothing,No,Yes,High
1242,25,Female,26924,29,9,Medium,Service,Subscription,Yes,No,Medium
1243,54,Female,104975,39,77,Medium,Product,Clothing,Yes,No,Medium
1244,46,Male,84684,12,50,Low,Service,Electronics,Yes,Yes,Medium
1245,35,Male,39878,11,60,High,Product,Subscription,Yes,Yes,Medium
1246,36,Male,74468,25,20,Low,Product,Clothing,No,Yes,High
1247,49,Female,114316,19,7,High,Service,Subscription,No,No,High
1248,56,Male,111223,33,12,High,Product,Clothing,Yes,Yes,High
1249,44,Male,51627,14,4,High,Service,Clothing,Yes,Yes,Medium
1250,36,Female,71809,27,26,Low,Product,Streaming,No,No,High
1251,31,Male,32942,5,18,Medium,Service,Food,No,No,High
1252,48,Female,100767,3,60,Low,Product,Food,Yes,No,Low
1253,27,Female,52211,40,19,Low,Service,Consulting,Yes,Yes,Medium
1254,42,Female,41647,25,62,Medium,Service,Consulting,Yes,No,High
1255,34,Male,82184,28,9,Low,Service,Streaming,No,No,High
1256,41,Female,53648,6,52,Medium,Product,Food,Yes,No,High
1257,38,Male,117162,33,19,Medium,Product,Streaming,No,Yes,Low
1258,63,Female,96997,21,31,Low,Product,Clothing,No,No,Low
1259,28,Male,82269,33,28,Medium,Product,Clothing,Yes,Yes,High
1260,35,Female,35240,12,84,Medium,Product,Electronics,Yes,Yes,Medium
1261,25,Female,89751,18,63,High,Product,Food,No,No,High
1262,38,Male,51778,15,21,High,Product,Food,Yes,Yes,Medium
1263,43,Male,34982,20,45,Low,Service,Electronics,No,No,High
1264,52,Male,82911,39,28,Medium,Product,Food,No,No,Low
1265,58,Male,67505,32,2,Medium,Product,Subscription,Yes,No,Medium
1266,38,Female,94911,24,4,High,Product,Consulting,No,No,Low
1267,29,Female,109235,11,62,Low,Product,Clothing,Yes,No,Medium
1268,26,Male,40877,20,75,Medium,Product,Electronics,Yes,Yes,High
1269,46,Female,26134,31,88,Low,Service,Streaming,No,Yes,High
1270,38,Male,51675,17,1,Low,Service,Food,Yes,No,Medium
1271,47,Male,78890,17,71,Low,Product,Clothing,No,No,Medium
1272,54,Male,25545,24,17,High,Product,Consulting,Yes,No,High
1273,38,Male,46477,7,88,High,Product,Consulting,Yes,No,Medium
1274,61,Male,89083,0,20,Low,Service,Streaming,No,No,High
1275,40,Male,67761,5,38,Low,Product,Consulting,No,No,Low
1276,59,Male,29929,23,5,High,Product,Electronics,Yes,Yes,Medium
1277,41,Male,62959,2,39,Medium,Product,Subscription,No,No,High
1278,64,Female,79059,19,88,Medium,Service,Streaming,No,Yes,High
1279,46,Female,58599,20,32,Low,Product,Subscription,No,No,Low
1280,60,Male,107650,7,9,Low,Service,Consulting,Yes,No,Low
1281,22,Male,32771,31,30,Low,Service,Clothing,Yes,Yes,High
1282,24,Female,65245,4,25,Low,Product,Food,Yes,Yes,High
1283,34,Male,76757,19,8,Medium,Product,Streaming,Yes,No,Low
1284,31,Male,81923,21,45,High,Product,Clothing,No,Yes,High
1285,63,Female,59621,14,10,Medium,Product,Food,No,Yes,Low
1286,54,Female,53551,23,86,Low,Product,Subscription,Yes,Yes,Low
1287,50,Female,88400,20,88,Low,Service,Subscription,No,No,Medium
1288,19,Female,118532,4,60,Low,Product,Clothing,Yes,Yes,Medium
1289,25,Female,57832,37,18,High,Service,Subscription,Yes,No,Low
1290,50,Female,73650,10,56,Low,Service,Clothing,Yes,No,Medium
1291,44,Male,52506,37,80,High,Product,Consulting,No,No,Low
1292,21,Male,111255,4,85,Medium,Service,Streaming,Yes,No,Low
1293,18,Male,48980,13,47,Medium,Service,Electronics,No,Yes,High
1294,44,Female,26949,38,65,Low,Service,Clothing,No,Yes,Medium
1295,35,Female,25926,1,30,Low,Product,Electronics,Yes,No,Low
1296,44,Female,75449,8,11,Medium,Product,Food,Yes,No,Medium
1297,53,Male,77111,2,31,Medium,Product,Consulting,Yes,Yes,Low
1298,18,Male,103454,31,74,Medium,Service,Electronics,No,Yes,Medium
1299,56,Female,84385,14,46,High,Product,Consulting,Yes,Yes,Low
1300,52,Male,92090,36,52,High,Service,Food,No,No,Low
1301,39,Male,27813,15,69,Low,Service,Streaming,Yes,No,High
1302,45,Female,47173,5,15,High,Service,Electronics,Yes,Yes,Low
1303,42,Female,58854,27,44,Low,Product,Subscription,No,Yes,High
1304,57,Female,21798,20,60,Low,Product,Electronics,No,No,Low
1305,63,Male,69569,27,29,Medium,Product,Streaming,No,No,Medium
1306,51,Female,93838,38,55,Low,Service,Electronics,Yes,No,Medium
1307,40,Male,68744,10,60,Low,Product,Electronics,No,No,Medium
1308,53,Female,56483,5,75,Medium,Service,Electronics,No,Yes,Low
1309,56,Female,91813,39,43,Medium,Product,Subscription,No,No,High
1310,50,Male,78813,34,82,Low,Service,Consulting,No,Yes,High
1311,26,Female,67582,31,49,High,Service,Consulting,No,No,Medium
1312,52,Female,47496,30,9,Low,Product,Electronics,Yes,No,High
1313,61,Male,89373,40,47,High,Product,Electronics,Yes,Yes,Low
1314,24,Female,98423,5,56,Medium,Product,Clothing,No,No,Low
1315,36,Female,61142,3,85,Low,Product,Electronics,Yes,No,Medium
1316,47,Male,84790,17,91,Low,Product,Clothing,No,No,Low
1317,63,Female,48918,38,51,Medium,Service,Food,Yes,No,Medium
1318,28,Female,60709,37,15,High,Product,Food,Yes,No,High
1319,20,Female,85321,14,55,Low,Service,Consulting,Yes,Yes,High
1320,42,Male,103620,6,76,Low,Product,Food,Yes,Yes,High
1321,52,Male,66955,24,70,Medium,Product,Clothing,No,No,Low
1322,28,Male,112941,32,81,Medium,Product,Electronics,Yes,No,Medium
1323,20,Male,68987,34,34,Medium,Service,Consulting,No,Yes,Medium
1324,26,Female,47600,28,16,High,Product,Food,Yes,No,High
1325,65,Female,100816,38,58,Medium,Product,Electronics,Yes,Yes,High
1326,40,Female,47744,4,51,Medium,Product,Streaming,No,No,Low
1327,29,Male,35402,28,67,High,Service,Consulting,Yes,No,Low
1328,18,Female,71138,8,51,Medium,Product,Electronics,Yes,No,High
1329,60,Female,73547,40,20,Medium,Service,Food,No,No,High
1330,20,Female,63627,25,1,Medium,Service,Subscription,No,Yes,High
1331,41,Male,79086,30,1,Medium,Service,Consulting,No,Yes,High
1332,18,Male,52017,28,95,Low,Product,Electronics,Yes,Yes,Medium
1333,53,Male,91861,15,48,Medium,Product,Streaming,Yes,Yes,Medium
1334,38,Female,69085,10,91,Low,Product,Electronics,Yes,No,Medium
1335,28,Male,94450,22,51,Low,Service,Consulting,No,Yes,Low
1336,59,Male,65719,4,38,Low,Service,Electronics,No,No,High
1337,54,Male,41099,1,44,Low,Service,Streaming,Yes,No,Low
1338,63,Female,62732,13,84,High,Service,Electronics,Yes,Yes,Low
1339,18,Female,75988,39,16,Medium,Service,Streaming,No,Yes,Low
1340,27,Female,29821,21,29,Medium,Product,Streaming,Yes,No,Medium
1341,25,Male,23922,20,65,Low,Product,Clothing,No,Yes,High
1342,37,Male,79878,32,92,Medium,Product,Subscription,No,No,High
1343,42,Male,92148,37,40,Low,Product,Subscription,Yes,Yes,Low
1344,49,Male,37757,38,53,Medium,Product,Streaming,No,No,Medium
1345,59,Male,66680,5,68,Low,Service,Subscription,No,No,Low
1346,23,Male,72567,26,60,High,Service,Streaming,No,No,Medium
1347,38,Female,27900,27,35,Medium,Service,Electronics,No,No,Low
1348,62,Male,23731,19,100,Low,Service,Consulting,No,Yes,Medium
1349,37,Male,65130,20,42,Low,Service,Food,Yes,No,Medium
